0,sentiment
"삼성전자는 범용이 아닌 고객 맞춤형 메모리 반도체 수요 증가 전망, 온디바이스 AI 활용처가 다변화하며 모바일(IM)·소비자 가전(CE) 부문과 중장기적으로 시너지가 커질 가능성에 주목했다.",-1
"AI 서버 수요가 급증하면서 주문형반도체(ASIC), 프로그래머블반도체(FPGA) 등 주문형 칩에 대한 수요가 늘어나는 점도 긍정적이다.",-1
삼성전자의 파운드리 사업에 큰 기회가 될 가능성이 높아서다.,-1
"삼성바이오로직스는 금리 고점 인식이 확산하면서 바이오 업황 회복, 주가 재평가가 기대된다는 평가를 내놨다.",-1
현대차 인도시장 판매량 첫 60만 돌파베트남서 1위 탈환·필리핀 '톱10' 진입중·러 대신 아세안으로…日과 경쟁 관건[이데일리 공지유 기자] 지난해 글로벌 시장에서 역대급 실적을 갈아치운 현대차(005380)·기아(000270)는 미국·유럽 등 전통적 선진국시장뿐 아니라 인도·동남아시아 등 신흥시장에서도 괄목할 만한 성적을 거뒀다.,-1
이를 토대로 최근 부진한 러시아·중국 대신 아세안(ASEAN·동남아시아국가연합) 지역을 위주로 신흥시장에서의 점유율 확대에 박차를 가할 것으로 전망된다.,-1
현대차 인도네시아 생산 현장.,-1
(사진=현대차)28일 현대자동차그룹에 따르면 현대차는 지난해 인도 권역에서 도매판매량 60만5000대를 기록했다.,-1
현대차 인도 판매량은 2016년에 50만대를 넘어선 뒤 지난해 처음으로 60만대를 돌파했다.,-1
기아 역시 인도 진출 첫해인 2019년 판매량이 4만5000대에 그쳤으나 지난해 25만대를 넘겼다.,-1
아세안 시장에서도 약진이 두드러졌다.,-1
"지난해 베트남에서 현대차와 기아가 각각 6만7450대, 4만773대를 판매해 시장 점유율 1위와 3위에 올랐다.",-1
2위는 5만7414대를 판매한 토요타가 차지했다.,-1
현대차는 2019년부터 유지해 오던 베트남 시장 판매 1위 자리를 2022년 토요타에 넘겨줬다가 지난해 다시 탈환했다.,-1
필리핀 시장에서는 총 1만4163대를 판매했다.,-1
"현대차(9133대)는 필리핀 시장 판매 8위에, 기아(5033대)는 10위에 올랐다.",-1
일본 완성차 브랜드가 점유율 약 절반을 차지하고 있는 필리핀 시장에서 양사가 각각 ‘톱10’에 오른 건 지난해가 처음이다.,-1
"이처럼 최근 현대차가 미국이나 유럽 등 선진시장뿐 아니라 인도, 동남아 등 신흥 시장에서 점유율을 키워나가는 건 러시아·중국에서의 어려움이 지속하고 있기 때문이다.",-1
지난해 중국 시장에서 현대차 판매량은 24만5000대로 전년 대비 3.5% 감소했다.,-1
러시아 판매량은 51만대로 47.5% 급감했다.,-1
현대차는 최근 러시아 업체 아트파이낸스에 러시아 공장을 매각하며 사실상 시장에서 철수했다.,-1
(그래픽=김일환 기자)대신 지난해부터 본격적으로 인도와 동남아 등에서의 투자를 대폭 늘리며 점유율 확대에 나서고 있다.,-1
현대차는 지난해 인수한 제너럴모터스(GM)의 인도 탈레가온 공장에 700억루피(약 1조1000억원)을 투자해 전기차 생산 시설을 확충할 계획이다.,-1
최근 인도 타밀나두주 정부와도 618억루피(약 9800억원) 규모 투자 계획을 발표했다.,-1
"또 현대차가 인도네시아, 필리핀에 이어 태국에 동남아시아 단독 법인을 세운 데 이어 기아 역시 최근 태국 현지 법인을 신설했다.",-1
다만 동남아 등 신흥 시장에서 일본 완성차 브랜드가 강세를 보이고 있어 치열한 경쟁이 예상된다.,-1
"지난해 인도네시아 판매 순위는 토요타(32만5395대)가 1위에 올랐고, 다이하쓰(19만4108대), 혼다(12만8010대) 등 일본 완성차 브랜드가 줄줄이 상위권을 차지했다.",-1
필리핀에서도 3위인 포드를 제외하고 토요타·미쓰비시·닛산·스즈키·이스즈·혼다가 나란히 판매 7위까지 이름을 올렸다.,-1
여기에 중국 전기차 업체 비야디(BYD)가 올해 인도네시아에 정식 진출하기로 하는 등 동남아 공략에 나서며 신흥국 점유율 확보 경쟁에 더 불이 붙을 전망이다.,-1
이호근 대덕대 자동차학과 교수는 “중국과 러시아 대신 성장 가능성이 큰 동남아와 인도에 집중하는 전략이 필요하다”며 “다만 일본이 인프라를 공고히 다져놓은 만큼 한국 완성차 브랜드가 침투하기 위해서는 지속적인 노력이 필요할 것”이라고 말했다.,-1
미국 130만5991대로 수출 1위중국·일본 수출량 3000대 하회러시아 수출 808대…94.3% 급감[이데일리 공지유 기자] 국내 완성차 업체들이 지난해 196개국에 276만대를 수출하면서 자동차 수출 물량이 8년 만에 최다를 기록한 것으로 나타났다.,-1
울산 북구 현대자동차 울산공장 야적장.,-1
(사진=뉴시스)28일 한국자동차모빌리티산업협회(KAMA)에 따르면 현대차(005380)·기아(000270)·제너럴모터스(GM) 한국사업장·KG모빌리티(003620)·르노코리아·타타대우 등 국내 완성차 업체 6곳이 지난해 한 해 196개국에 수출한 자동차 대수는 총 276만3499대였다.,-1
"이는 2022년 197개국에 수출한 230만333대보다 20.1% 증가한 수치로, KAMA가 지난해 초 전망한 수출 물량(235만대)보다도 41만대 많다.",-1
국내 완성차 업체가 한 해 270만대 이상을 수출한 건 2015년(297만4114대) 이후 8년 만이다.,-1
대륙·지역별로 보면 미국이 포함된 북미가 154만9164대로 수출량이 가장 많았다.,-1
"이어 유럽연합(EU)이 43만5631대, 중동 21만9530대, 오세아니아 18만7188대, 유럽 기타 지역 16만4150대, 중남미 12만3677대 순이었다.",-1
"수출 물량이 5만대를 넘지 못한 대륙은 중동을 제외하고 아시아(4만3059대), 아프리카(4만1170대) 두 곳이었다.",-1
단일 국가별로 보면 미국이 130만5991대로 최다를 기록했다.,-1
"그 다음으로 캐나다(21만8721대), 호주(16만9205대), 독일(9만2692대), 영국(8만7064대), 프랑스(7만1665대) 등이었다.",-1
"대만에는 지난해 1만2998대를 수출했는데, 전년(7420대)와 비교해 75.2% 증가한 수치다.",-1
한편 아시아에서 주요 교역 상대국인 중국과 일본에는 지난해 한 해 각각 3000대도 팔지 못했다.,-1
"중국에는 2571대, 일본에는 1506대를 각각 수출했다.",-1
우크라이나와 전쟁을 벌이고 있는 러시아로 수출한 자동차는 808대로 전년 대비 94.3% 급감했다.,-1
우크라이나에는 전년 대비 41.7% 증가한 3200대를 수출했다.,-1
한편 KAMA는 최근 ‘2023년 자동차산업 평가 및 2024년 전망’ 보고서에서 미국과 유럽 등 주요 시장의 수요 정상화와 하반기 금리 인하에 따른 선진 시장 소비 심리 회복으로 올해 275만대가 팔릴 것으로 전망했다.,-1
전기차 전환 늑장 대응에달리던 차 바퀴 빠져 치욕하이브리드車로 반전 노려전기차 판매부진 '반사효과'37년 만에 日시총 기록 깨전기차 대세 전망 우세 속하이브리드車도 공존할 듯,-1
아키오 도요다 일본 토요타 회장이 2021년 12월 전기차 전략을 발표하며 공개할 전기차 실물을 소개하고 있다.,-1
연합뉴스[서울경제] 글로벌 1위 자동차 업체인 일본 토요타는 지난 2022년 굴욕적인 사건을 겪었다.,-1
그 해 4월 출시한 브랜드 최초 순수 전기차 ‘bZ4X’가 주행 중 바퀴가 빠지는 치명적인 결함이 발견된 것이다.,-1
"대만에서 1건, 미국에서 2건의 바퀴 빠짐 현상이 신고됐고, 토요타는 출시 두 달만인 6월 2700여대의 리콜을 결정했다.",-1
결함의 원인은 전기차의 높은 토크를 고려하지 않은 설계와 부적절한 부품 사용.,-1
차축과 바퀴를 고정하는 볼트가 느슨해지면서 달리는 차에서 바퀴가 빠지는 치명적인 오류가 발생한 것이다.,-1
적기생산방식(JIT)을 바탕으로 ‘품질의 대명사’로 불려왔던 토요타는 제대로 체면을 구겼다.,-1
토요타의 첫 순수 전기차인 bZ4X는 2022년 4월 출시됐지만 두 달만에 주행 중 차량의 바퀴가 빠지는 치명적 결함이 발생하며 리콜을 결정했다.,-1
사진제공=한국토요타bZ4X의 실패는 전기차 시대의 길목에서 갈피를 잡지 못하는 토요타를 상징했다.,-1
브랜드 최초의 순수 전기차를 내놓으면서도 “전기차 전환 속도가 예상보다 더딜 것”이라며 내연기관 하이브리드차에 대한 집착을 버리지 못했다.,-1
일각에선 갈팡질팡하는 토요타의 모습을 두고 글로벌 판매량 1위를 달리는 기존 헤게모니가 바뀌는 것을 원치 않기 때문이란 분석이 나왔다.,-1
"━토요타, 전기차 전환 길목서 주춤…'퍼스트 무버' 치고 나간 현대차(005380)그룹",-1
정의선 현대차그룹 회장은 전기차 시대에 현대차그룹이 퍼스트 무버가 돼야 한다고 강조했다.,-1
사진제공=현대차그룹비슷한 시기에 같은 내연기관 브랜드인 현대차그룹은 다른 노선을 밟았다.,-1
"정의선 현대차그룹 회장은 “내연기관차 시대엔 우리는 패스트 팔로어였지만 전기차 시대엔 모든 업체들이 같은 출발선에 있다""며 ""경쟁업체를 뛰어넘는 암도적인 성능과 가치로 세계 전기차 시대를 선도하는 퍼스트 무버가 돼야 한다”고 강조했다.",-1
현대차그룹은 순수 전기차 전용 플랫폼(E-GMP)를 개발했다.,-1
bZ4X에 내연기관 플랫폼을 개조한 ‘e-TNGA’를 적용해 사달이 난 토요타와 접근방식부터 달랐다.,-1
E-GMP에 기반해 내놓은 아이오닉5와 EV6는 북미와 유럽시장에서 호평을 받으며 토요타를 앞서갔다.,-1
현대차의 아이오닉5는 현대차가 독자개발한 전기차 전용플랫폼(E-GMP)를 기반으로 만들어진 순수 전기차다.,-1
사진제공=현대차현대차그룹은 2022년 총 684만대를 판매하며 처음으로 글로벌 판매량 3위에 올랐다.,-1
지난해도 730만대를 팔아 2년 연속 3위 수성이 유력하다.,-1
물론 1위는 토요타다.,-1
지난해에도 1000만대 이상을 팔아 4년 연속 글로벌 판매 1위에 오를 가능성이 높다.,-1
두 회사 모두 내연기관 차량 판매 비중이 압도적으로 높지만 느낌은 다르다.,-1
전기차 시대를 맞아 현대차그룹이 테슬라 쪽에 가까운 세련된 이미지로 바뀌었다면 토요타는 여전히 올드한 느낌을 지울 수 없다.,-1
"업계 일각에선 전기차만 놓고 보면 성능과 디자인, 양산 능력 등 종합적으로 볼 때 현대차그룹이 ‘퍼스트 무버’, 토요타가 ‘패스트 팔로어’라는 주장도 나온다.",-1
━상장사 영업익 1·2위 오른 현대차·기아(000270)…37년 만에 시총 1위 기록 깬 日 토요타,-1
현대차·기아는 지난해 27조원에 가까운 영업이익으로 창사 이래 역대 최대 실적을 냈다.,-1
사진제공=현대차그룹현대차그룹은 지난해 창사 이래 역대 최고 실적을 달성했다.,-1
현대차·기아는 합계 영업이익 26조7349억원으로 한국 자동차산업의 역사를 새로 썼다.,-1
14년간 국내 상장사 영업이익 1위를 지켜온 삼성전자를 3위로 밀어내고 나란히 1·2위를 차지했다.,-1
두 회사의 합산 영업이익률은 9.3%로 마진이 높은 걸로 유명한 미국의 전기차 업체 테슬라(8.2%)를 압도했다.,-1
하지만 현대차그룹만 잘 나가는 것이 아니다.,-1
시선을 밖으로 돌리면 토요타의 질주가 예사롭지 않다.,-1
일본 주식시장 시가총액 1위 기업인 토요타는 최근 역대 최대 시총 기록을 37년만에 갈아치웠다.,-1
지난 23일 주당 2991엔(약 2만7000원)에 거래를 마감한 토요타의 시총은 48조7891억엔(약 440조8290억원)까지 불어나며 버블경제 시기인 1987년 통신회사 NTT가 기록한 시총 48조6720억엔(약 439조7700억원)을 넘어섰다.,-1
주가는 기업가치의 바로미터다.,-1
토요타가 37년 만에 역대 1위 시총 기록을 깬 배경엔 실적이 있다.,-1
회계연도가 우리나라와 달라 직접 비교는 어렵지만 토요타는 2023년도(2023년 4월~2024년 3월) 연결 영업이익이 전년 대비 65% 급증한 4조5000억엔(40조6590억원)에 이를 것으로 전망된다.,-1
일본 단일 기업 사상 최초로 영업이익 4조 엔 클럽을 눈앞에 두고 있다.,-1
일본 증시가 최근 활황인 점을 감안하더라도 토요타의 주가 상승을 이끈 건 실적이라는 사실은 변함 없다.,-1
일본 주식시장 시가 총액 1위인 토요타는 최근 1987년 통신회사 NTT의 역대 최대 시총 기록을 갈아치웠다.,-1
서울경제DB━전기차 부진에 뜨는 하이브리드차…토요타가 시장 60% 장악,-1
토요타는 ‘하이브리드 원조’ 프리우스의 5세대 모델을 국내에 출시했다.,-1
사진제공=한국토요타토요타의 실적 개선은 지난해부터 본격화한 글로벌 자동차 산업의 변화와 궤를 같이 하고 있다.,-1
"바로 ‘전기차의 판매 부진, 하이브리드차의 성장’이다.",-1
토요타가 바랬던 그림이다.,-1
실제 글로벌 전기차는 성장의 기울기가 꺾이는 추세다.,-1
시장조사업체 카날리스에 따르면 지난해 전기차는 전세계에서 1370만대 팔리며 전년 대비 29% 성장했다.,-1
"하지만 2021년 169%, 2022년 93%의 고성장에 비하면 둔화 폭이 커지고 있다.",-1
올해 역시 27.2% 성장한 1710만대로 부진이 지속될 전망이다.,-1
"달리는 자동차에서 바퀴가 빠지는 굴욕을 겪고, 전기차 전환 속도를 제대로 따라가지 못한다고 혹평을 받았던 토요타 입장에선 격세지감을 느낄 정도다.",-1
"그동안 쌓인 게 많은 탓인지 도요다 아키오 회장은 이달 도쿄에서 열린 '오토 살롱 2024'에서 “아무리 전기차 전환이 진행되더라도 시장 점유율의 30%라고 생각한다""며 ""엔진차는 반드시 살아 남을 것""이라고 말하기도 했다.",-1
윤석열 대통령이 지난해 3월 경기도 화성시 기아자동차 오토랜드 화성에서 열린 전기차 전용공장 기공식에서 퍼포먼스를 마친 뒤 정의선 현대자동차그룹 회장과 박수치고 있다.,-1
현대차그룹은 2030년까지 글로벌 전기차 톱3 도약을 목표로 제시했다.,-1
연합뉴스하이브리드차의 성장세는 가파르다.,-1
시장조사업체 콕스오토모티브에 따르면 친환경차의 격전지인 미국 시장에서 지난해 하이브리드차 판매량은 전년 대비 65% 급증하며 전기차 판매 증가율(46%)를 앞질렀다.,-1
지난해 하이브리드차의 시장점유율은 8%였는데 올해는 14%까지 올라갈 것으로 전망된다.,-1
순수전기차 비중은 10% 안팎이다.,-1
토요타는 자타공인 하이브리드 최강자다.,-1
1997년 세계 최초로 양산형 하이브리드차인 프리우스를 선보일 만큼 하이브리드 기술은 세계 최고 수준이다.,-1
토요타는 현재 글로벌 하이브리드 차량 시장에서 60%의 점유율로 시장을 주도하고 있다.,-1
지난해 1월~11월까지 전기차 판매량은 9만5000대에 그치며 총 판매량의 1%에도 못미쳤지만 전통적인 강세 부문인 하이브리드차(플러그인 포함)는 320만대나 팔았다.,-1
"━전기차는 현대차·기아, 하이브리드는 토요타 상대적 우위…최종 승자는?",-1
현대차·기아는 2011년 세계 최초로 병렬식 하이브리드 시스템을 개발했다.,-1
"사진제공=현대차·기아지난 2~3년 간 전동화 전환에 집중한 현대차그룹 입장에선 ‘전기차 부진, 하이브리드 성장’이 달갑지만은 않다.",-1
현대차·기아는 지난해 전세계 시장에서 45만785대의 전기차를 팔아 토요타를 압도했지만 하이브리드에선 열세를 보이고 있어서다.,-1
현대차·기아는 지난해 총 76만 7941대의 하이브리드차(플러그인 포함)를 팔았는데 토요타의 5분의 1수준이다.,-1
물론 현대차그룹도 독자적인 하이브리드 기술력을 갖고 있다.,-1
수십년간 쌓은 기계공학 노하우를 바탕으로 2011년 세계 최초로 '병렬형 하이브리드 시스템'을 개발했다.,-1
직렬형 하이브리드 시스템을 쓰는 토요타가 구현하려다 포기했던 기술이다.,-1
현대차·기아는 당분간 지속될 하이브리드카 성장세에 대응하는 차원에서 효율과 성능을 대폭 향상시킨 차세대 하이브리드 시스템 개발에도 박차를 가하고 있다.,-1
내년 출시를 목표로 개발 중인 차세대 하이브리드 시스템은 고성능 엔진과 결합돼 연비 측면에서도 획기적인 개선이 이뤄질 것으로 기대된다.,-1
현대차 그랜저는 지난해 국산 승용차 판매량 1위를 기록했다.,-1
그랜저 판매량의 절반 이상이 하이브리드차였다.,-1
사진제공=현대차하지만 양사의 첫 하이브리드 차 양산 시점이 10년 이상 차이 나는 점을 고려하면 토요타가 상대적인 우위에 있다는 분석이 합리적이다.,-1
"토요타는 오는 6월부터 출시되는 2025년형 캠리부터 가솔린 차량을 단종하고, 하이브리드 모델로만 구성한다.",-1
캠리는 1980년 출시 이후 43년간 글로벌 시장에서 2100만대 이상 판매된 베스트셀링카다.,-1
현대차로 치면 쏘나타나 그랜저를 하이브리드 차로만 생산한다는 얘기다.,-1
일각에서는 최근 전기차 성장이 둔화한 것은 맞지만 하이브리드차의 성장세 역시 한계가 있을 것이란 분석도 나온다.,-1
가격과 충전인프라 등 전기차가 대중화되기 위한 장벽을 넘어서기 전까지 하이브리드차가 공존하는 것일 뿐 중장기적으론 내연기관차가 사라질 것이란 얘기다.,-1
"업계 관계자는 “전기차가 앞으로 대세가 될 가능성이 높지만 현 시점에선 충전 인프라를 비롯해 주행거리와 배터리 기술 등 개선해야 할 부분들이 많다""면서 “이런 점들이 개선되기 전까진 하이브리드차를 선호하는 고객들의 마음을 돌리긴 어려울 것”이라고 내다봤다.",-1
"현대차·기아 이어 모비스도 ‘역대급’ 실적친환경·SUV 중심 판매 호조에 3사 방긋북미·유럽 등 선진 시장 중심 공략 이어간다올해 호실적 요인 지속하고 수익성 확보 예고[이데일리 이다원 기자] 지난해 현대차(005380)와 기아(000270), 현대모비스(012330) 3사가 벌어들인 영업이익이 30조원에 육박하는 것으로 나타났다.",-1
글로벌 핵심 시장에서 고부가가치 차종을 중심으로 판매를 늘리면서 ‘역대급’ 실적을 기록한 데 따른 것이다.,-1
올해에도 현대차그룹 3사는 친환경차와 스포츠유틸리티차(SUV)를 중심으로 한 호실적 흐름을 이어가겠다는 계획이다.,-1
현대차그룹 로고.,-1
"(사진=현대차그룹)현대모비스는 지난해 연결 기준 연간 매출액 59조2544억원, 영업이익 2조2953억원을 잠정 기록했다고 26일 공시했다.",-1
"전년 대비 14.2%, 13.3% 각각 늘어난 수치다.",-1
한 해 동안 60조원에 가까운 매출을 올린 현대모비스는 지난해 역대 최대 실적을 갈아치웠다.,-1
지난 2022년 쓴 매출 신기록(51조9063억원)을 한 해만에 새로 쓴 셈이다.,-1
같은 기간 당기순이익은 37.6% 증가한 3조4233억원을 기록했다.,-1
현대차·기아에 이어 현대모비스까지 실적 신기록을 세우면서 현대차그룹 3사의 연간 실적도 ‘최대’를 찍었다.,-1
"전날 현대차는 연매출 162조6636억원, 영업이익 15조1269억원을 기아는 매출 99조8084억원, 영업이익 11조6079억원을 잠정 기록했다고 각각 발표했다.",-1
양사 모두 매출과 영업이익에서 역대 최대 실적을 새로 썼다.,-1
이에 따라 현대차그룹 3사의 지난 2023년 영업이익은 30조원에 달하게 됐다.,-1
현대차·기아·현대모비스 3사의 작년 합산 영업이익은 29조301억원이다.,-1
합산 매출액은 322조원에 육박한다.,-1
이 같은 호실적의 비결로는 고부가가치 차량 판매 성장과 글로벌 핵심 완성차 시장에서의 판매 호조가 꼽힌다.,-1
현대차·기아는 지난해 글로벌 시장에서 친환경 차량과 SUV 등 고부가가치 차량 판매를 늘렸다.,-1
"전기차(EV), 하이브리드 차(HEV) 등 친환경차의 경우 총 127만1000대를 팔아 전년 대비 27.9% 성장을 기록했다.",-1
"SUV의 경우 현대차는 고급차 브랜드인 제네시스를 포함해 SUV 판매 비중이 57.1%를 기록했고, 기아는 지난해 쏘렌토, 스포티지 등 SUV 차종이 최다 판매 모델 상위권을 차지하며 인기를 끌었다.",-1
현대모비스도 이에 맞춰 “친환경차 생산 확대에 따른 전동화 부품 공급량을 늘렸다”며 “중대형·SUV 차종 중심의 제품 믹스 개선을 통한 고부가가치 핵심부품 판매 확대도 실적 상승을 견인했다”고 설명했다.,-1
북미·유럽 등 선진 시장에서 높은 실적을 낸 것도 영향을 미쳤다.,-1
"현대차는 미국과 유럽에서 각각 판매량 성장율 14.2%, 11.6%를 기록했다.",-1
"기아 역시 지난해 미국 판매량을 12.8% 늘렸고, 서유럽 시장에서도 친환경차를 중심으로 판매대수를 5.4% 확대했다.",-1
현대모비스는 현대차·기아 해외 공장뿐만 아니라 북미·유럽 완성차 기업까지 고객을 늘리며 해외 판매를 확대하는 추세다.,-1
현대차 더 뉴 싼타페.,-1
(사진=현대차)현대차그룹은 올해도 친환경차와 고부가 차종을 중심으로 한 글로벌 사업 포트폴리오를 확장할 계획이다.,-1
현대차·기아는 올해 글로벌 시장에서 작년 대비 1.9% 늘어난 744만3000대를 팔겠다는 구상이다.,-1
선진 시장에서의 판매 호조도 이어간다.,-1
"현대차는 올해 북미 지역에 싼타페, 투싼, GV80(제네시스) 등 SUV 신차를 출시하며 물량을 늘린다.",-1
기아 또한 북미 시장을 중심으로 수요에 대응하며 친환경차 판매를 늘리겠다는 목표다.,-1
현대모비스는 올해 북미 지역 신규 고객을 확보하는 가운데 유럽 시장에서는 현지 생산과 연구개발(R&D)을 통해 고객 대응력을 강화한다.,-1
기아 전기차 브랜드 EV 라인업.,-1
(사진=기아)올해 녹록지 않은 경영 환경이 예고된 만큼 현대차그룹은 수익성도 적극 모색할 방침이다.,-1
"현대차는 HEV와 EV를 조합한 친환경차와 제네시스 등 고가 차종 판매를 확대하고, 기아는 중저가 전기차 라인업을 선보이며 EV 시장 점유율을 높인다.",-1
"현대차 관계자는 “글로벌 수요 위축, 환율 변동성 등 여러 대외 경영 환경 악화에도 지속적 믹스 개선과 원가 혁신을 통해 목표 달성을 추진할 것”이라고 말했다.",-1
"기아 관계자 역시 “플래그십 전기차 EV9의 글로벌 판매 본격화, EV3~EV5 등 전용 전기차 라인업 확대에 기반한 수익성 제고를 지속 추진할 것”이라고 강조했다.",-1
"26일 코스피 종가는 전장보다 8.22포인트(0.33%) 오른 2478.56으로, 코스닥지수는 전장보다 13.50포인트(1.64%) 오른 837.24로 거래를 마쳤다.",-1
연합뉴스[서울경제] 26일 코스피가 이차전지 종목 반등에 힘입어 2470대를 회복했다.,-1
이날 코스피 종가는 전장보다 8.22포인트(0.33%) 오른 2478.56으로 집계됐다.,-1
"지수는 전장보다 12.29포인트(0.50%) 내린 2458.05로 출발했지만, 장 초반 반등한 뒤 상승세를 유지했다.",-1
"시가총액 상위 종목 가운데 LG에너지솔루션(373220)(3.53%), POSCO홀딩스(005490)(3.13%), LG화학(051910)(2.97%) 등 이차전지 종목이 일제히 상승했다.",-1
"이밖에 기아(000270)(1.51%), NAVER(1.41%), 카카오(035720)(1.07%) 등도 올랐다.",-1
"반면 삼성전자(005930)(-0.94%), SK하이닉스(000660)(-1.02%) 등 반도체주를 비롯해 삼성바이오로직스(-1.53%), 현대차(005380)(-0.74%) 등은 하락했다.",-1
"업종별로 보면 화학(1.04%), 철강 및 금속(1.87%), 유통업(1.06%) 등이 올랐으며 의료정밀(-1.96%), 전기·전자(-0.06%) 등은 내렸다.",-1
코스닥지수도 전장보다 13.50포인트(1.64%) 오른 837.24로 거래를 마쳤다.,-1
지수는 전장보다 4.98포인트(0.60%) 내린 818.76으로 출발해 오름세로 돌아선 뒤 상승 폭을 키웠다.,-1
코스닥시장에서 외국인이 1785억원어치 순매수하며 지수를 끌어올렸다.,-1
"개인과 기관은 각각 1535억원, 107억원 매도 우위를 보였다.",-1
"시총 상위 종목 가운데 에코프로비엠(247540)(7.49%), 에코프로(086520)(9.28%), 엘앤에프(066970)(1.21%) 등 이차전지 종목을 비롯해 HLB(028300)(19.20%), 셀트리온제약(068760)(1.94%) 등이 올랐다.",-1
"HPSP(-1.14%), 리노공업(-3.56%) 등은 내렸다.",-1
"이날 하루 유가증권시장과 코스닥시장의 거래대금은 각각 7조500억원, 11조860억원으로 집계됐다.",-1
"코스피, 장중 1.31% 올랐으나 상승폭 반납…2478선달러·원 환율, 전날보다 0.5원 오른 1336.3원 마감",-1
25일 오후 서울 중구 하나은행 명동점 딜링룸 전광판에 코스피 지수가 전 거래일 대비 0.65포인트(0.03%) 오른 2470.34를 나타내고 있다.,-1
"이날 코스닥은 전날 대비 12.47포인트(1.49%) 하락한 879.34, 원·달러 환율은 1.2원 내린 1,335.8원으로 장을 마쳤다.",-1
2024.1.25/뉴스1 ⓒ News1 김진환 기자(서울=뉴스1) 김정은 기자 = 국내 2차전지 관련주가 모처럼 반등에 성공하면서 국내 증시가 상승 마감했다.,-1
코스닥은 에코프로 형제의 활약 속 1%대 급등하면서 전날의 하락분을 모두 만회했다.,-1
"간밤 미국 전기차 제조업체 테슬라가 '어닝 쇼크' 여파로 12% 이상 급락했으나, 시장 예상을 상회한 미 GDP 지표로 '골디락스' 기대감이 커지자 미 증시는 랠리를 펼쳤다.",-1
26일 코스피는 전날 대비 8.22p(0.33%) 상승한 2478.56를 기록했다.,-1
"코스피는 이날 0.50% 하락하며 장을 연 뒤 이내 상승 전환했고, 장중 1.31% 오르기도 했다.",-1
하지만 장 마감 직전 상승폭을 반납하면서 강보합으로 장을 마쳤다.,-1
전날 코스피는 0.08% 하락하며 장을 연 뒤 낙폭을 확대하면서 2452선까지 밀리기도 했다.,-1
이날은 기관과 외국인이 동반 매수 우위를 나타냈다.,-1
"기관은 54억원, 외국인은 3760억원 각각 순매수했다.",-1
반면 개인은 3872억원 순매도했다.,-1
지난밤 미 증시는 4분기 국내총생산(GDP) 성장률이 시장의 예상을 크게 상회함에 따라 랠리했다.,-1
"25일(현지시간) 뉴욕증시에서 다우는 0.64%, S&P500은 0.53%, 나스닥은 0.18% 각각 상승했다.",-1
이로써 S&P500은 5일 연속 사상최고치를 경신했다.,-1
이는 미국의 GDP 성장률이 시장의 예상을 크게 상회했기 때문이다.,-1
이날 미국 상무부는 4분기 GDP 증가율(속보치)이 연율 3.3%를 기록했다고 발표했다.,-1
이는 월가의 예상치 2%를 크게 상회하는 것이다.,-1
